OBS	AGE	BLACK	BRTHORD	EDUC	EXPER	FEDUC	HOURS	IQ	KWW	MARRIED	MEDUC	SIBS	SOUTH	TENURE	URBAN	WAGE
823	31	1	1	15	4	9	50	97	31	1	16	2	1	9	1	1050
824	29	1	1	14	6		48	100	30	1		2	1	10	1	801
825	31	1		12	7		23	96	39	0		5	1	3	1	640
826	30	0	2	16	7	12	32	117	39	1	12	1	1	9	1	1198
827	32	0		12	4	13	55	93	38	1	16	1	1	2	1	390
828	28	0	2	12	12	12	36	116	37	1	9	1	1	11	1	889
829	36	0	1	12	19	9	38	106	42	1	12	1	1	20	1	1076
830	36	0	2	12	17	12	40	98	45	1	14	1	1	12	1	1127
831	37	0	1	15	1	9	50	103	36	1	12	1	1	1	0	750
832	33	0	1	14	6	12	40	118	41	1		3	1	14	0	855
833	31	0	1	13	5	12	40	100	22	1	10	1	1	1	0	525
834	29	0	2	12	11	12	54	96	39	1	10	1	1	4	0	1104
835	30	1	2	12	11	9	40	67	22	1	8	7	1	10	0	553
836	29	0	1	12	10	10	43	96	27	1	10	1	1	1	0	800
837	31	0	1	13	8	14	50	104	42	1	13	3	1	7	0	1384
838	36	0	1	17	8	12	30	106	34	0	14	0	1	0	0	425
839	33	1	6	11	13	10	54	62	34	0	2	7	1	4	1	510
840	31	1	2	12	13	4	32	73	31	1	3	9	1	2	0	370
841	33	1	8	12	16	8	40	62	26	1	2	9	1	14	0	596
842	28	1	2	12	9	10	40	76	28	1		4	0	4	1	402
843	31	1	1	12	12	10	40	76	26	1	9	0	1	2	0	418
844	36	0	1	16	13		40	106	44	1	12	1	1	10	0	1133
845	35	0		12	18	10	40	94	24	0	9	4	1	15	1	681
846	35	0	4	11	16	6	40	81	29	1	10	3	1	5	0	950
847	36	0	1	10	20	6	40	87	15	1	5	0	1	7	0	600
848	29	0	2	13	8	5	40	96	25	0		3	1	6	0	661
849	30	0	2	12	12		40	75	27	1	6	2	1	9	0	925
850	31	0	1	12	14	5	40	95	34	1	5	0	1	13	0	550
851	30	0	4	11	13	7	40	86	19	1	3	4	1	11	0	606
852	30	0	4	10	7	7	40	86	17	1	3	4	1	1	0	425
853	31	0	3	14	4	18	50	104	41	1	8	5	1	1	1	340
854	34	0	2	12	16	5	50	95	21	1	7	2	1	9	1	692
855	29	0	2	12	11	12	40	116	37	1	8	1	1	9	0	575
856	33	0	1	9	15	6	40	66	20	1	8	5	1	10	0	571
857	32	0	2	16	11	5	40	101	38	1	0	1	1	9	1	817
858	29	0	2	12	11	12	40	96	23	1	12	1	1	5	0	987
859	35	0	5	12	16		55	104	41	1	9	4	1	18	1	616
860	35	0	1	16	12	10	60	105	34	1	14	3	0	1	1	1026
861	29	0	2	12	4	7	40	106	34	1	8	1	0	3	1	808
862	30	0	2	17	8	15	50	101	34	1	15	1	1	0	1	808
863	36	0	1	12	13	12	40	96	42	1	12	4	1	5	1	788
864	33	0	1	12	6	9	40	105	34	1	12	1	0	2	1	850
865	38	0		12	10	2	38	106	40	1	3	7	1	19	1	900
866	36	0	3	12	19	8	45	102	44	1	8	2	1	20	1	1418
867	37	1	3	12	21		40	75	35	1		3	1	0	0	260
868	28	1	1	14	7	5	45	99	27	1	5	6	1	2	0	662
869	38	0	1	13	4	11	55	90	46	1	12	1	1	1	0	562
870	28	0		12	11	12	80	104	30	1	12	1	1	5	0	562
871	30	0	7	13	5		70	115	37	1		6	1	2	1	357
872	32	0	1	16	11	10	40	118	37	1	12	0	1	12	0	1009
873	36	0	1	12	17	12	40	108	40	1	9	1	1	17	1	1442
874	29	1	7	11	11	11	40	76	30	1	10	7	0	2	1	651
875	32	1		12	14		40	50	28	1	3	10	1	5	0	750
876	33	1	1	12	13		40	55	23	1	10	2	1	14	0	754
877	38	1	3	12	17		40	73	23	1		8	1	9	0	700
878	30	1		11	11	9	40	84	14	0	9	3	0	2	1	503
879	32	0	2	12	14	9	40	104	37	1	12	1	1	15	0	937
880	36	0	3	10	18	6	40	92	40	1	10	2	1	10	0	624
881	32	1	1	12	4	6	40	83	27	1	10	7	1	10	0	750
882	30	1	2	14	1	6	40	98	36	1	10	7	1	8	0	900
883	29	1		10	12	7	40	70	25	1	10	9	1	10	0	540
884	30	0	10	13	9	10	35	87	26	1	4	10	1	3	0	642
885	28	0		15	6		50	96	38	0	12	5	1	10	0	400
886	38	0	3	10	15	10	40	80	34	1	12	3	1	14	0	900
887	33	0	2	16	8	10	40	104	40	1	12	5	1	10	0	513
888	35	0	8	18	7	8	40	104	35	1	9	7	1	10	0	894
889	32	0	2	18	7	18	60	96	24	1	12	4	1	5	1	1282
890	30	0	3	12	10	18	40	89	24	0	12	4	1	9	0	485
891	29	0	2	12	11	13	55	113	39	1	10	1	1	5	0	325
892	33	0	1	12	16	7	45	105	29	1	7	4	1	5	0	769
893	31	0	8	14	6	4	40	84	39	0	7	7	1	8	1	618
894	35	0	7	12	16	3	48	108	36	1	7	6	1	17	1	1040
895	34	0	3	12	15	3	40	104	32	1	8	4	1	4	1	751
896	30	0	1	12	15	7	50	106	28	1	7	2	1	11	0	380
897	37	1	1	12	16		24	83	45	1	3	4	1	3	1	300
898	38	0	2	10	21	7	46	70	34	1	12	4	1	7	1	753
899	34	0	3	16	10	12	65	104	39	1	11	2	1	11	1	1065
900	30	0	2	12	13	12	40	91	42	1	14	1	0	1	1	1070
901	34	0	1	18	7	18	55	112	42	1	14	1	1	8	1	1573
902	30	0	1	10	14	9	40	97	27	1	12	5	1	9	0	650
903	32	0	2	12	15	10	45	99	40	1	10	4	1	7	0	700
904	34	1		12	16		40	74	30	1		5	1	4	0	494
905	31	0	1	12	4		48	100	40	1		0	1	8	0	890
906	31	0	1	10	15		40	86	28	1	6	0	1	12	0	520
907	32	0	5	12	16	9	40	90	36	1	12	5	1	16	0	891
908	30	0	3	12	11		50	101	43	1	12	2	0	12	1	570
909	29	0	1	15	11	9	40	109	33	1	11	2	1	1	1	1444
910	31	1	3	12	14		48	98	26	0		4	0	2	1	481
911	38	0		12	21	7	44	107	40	1	12	2	1	12	0	500
912	36	0	2	16	15	14	40	110	48	1	12	1	1	15	0	1473
913	28	0	4	13	4	12	40	120	35	1	10	3	1	1	1	803
914	30	0	1	16	7	12	50	97	34	1	12	0	1	2	1	962
915	29	0	1	12	9		44	103	37	1	11	0	1	5	1	1000
916	30	0	1	16	5	12	40	114	36	1	12	2	1	4	1	600
917	30	0	3	11	12	8	40	95	31	1	8	2	1	2	0	450
918	30	1	3	12	6	6	60	93	32	1	10	8	1	1	0	629
919	34	1		12	15		60	67	38	1	8	3	1	2	0	492
920	32	0	1	17	7	13	40	97	28	1	12	5	1	2	1	1562
921	28	0	2	14	6	16	70	97	34	1	13	1	1	3	0	357
922	32	0		13	14		40	83	25	1	10	4	1	13	1	960
923	32	0	2	16	5	12	45	104	46	1	12	1	1	2	0	566
924	32	0	2	12	9	8	40	82	27	1	12	2	1	2	0	481
925	35	0	2	16	8	8	40	113	45	1	8	2	1	10	1	1442
926	35	0	7	12	11	8	45	93	39	1	7	7	1	3	0	645
927	32	1		11	15		40	100	23	1	9	5	1	6	0	788
928	33	0	3	12	11		42	101	38	1	12	4	1	5	0	644
929	31	0	3	12	9	7	45	100	33	1	7	3	1	3	0	477
930	34	1	4	16	10	16	60	82	30	1	16	3	1	9	1	664
931	30	1	1	16	6		40	79	28	1	11	0	1	1	0	520
932	31	0	7	13	10	6	40	102	32	1	8	7	1	3	1	1202
933	28	1		12	12		45	77	22	1	7	9	1	10	0	538
934	28	0	1	12	12	11	44	109	25	1		1	1	12	0	873
935	35	0	1	12	17		40	107	32	1		5	1	18	0	1000
